Filesystem      Size  Used Avail Use% Mounted on
tmpfs           795M  1.7M  793M   1% /run
/dev/sda1        96G  8.9G   87G  10% /
tmpfs           3.9G     0  3.9G   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda16      881M  115M  705M  14% /boot
/dev/sda15      105M  6.2M   99M   6% /boot/efi
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/9fe813bc39043e1551d33e76519dfc471edfd2eb537d5262ec4fe7d923631e44/merged
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/03f77825862e770fe7fc1a03e8de549de232e5b502dcec7ad54c264713d125cb/merged
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/4ec89387944159644831275ef59ee56d7f90152b5e858c30479016bbf46451db/merged
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/56281d15d060b1dd607c247310852286670ba19c0d8e8638390fa3df3a805f72/merged
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/73845d2f51fc14732f463abac945d89898133732764183632a15cdd3a9df7f78/merged
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/4aec16e3294a3df5adf68e0fe4eb47795d6da94e5860cc8e0bf7dbbe613bd9a5/merged
overlay          96G  8.9G   87G  10% /var/lib/docker/overlay2/b51bccb969ab92f6174be37783bd3b0b9c643b984f07f224802366878bcecbd6/merged
tmpfs           795M   12K  795M   1% /run/user/0
